,id,name,genre,sub_genre,followers
65,4Uc8Dsxct0oMqx0P6i60ea,Conan Gray,pop,"['bedroom pop', 'pop']",5513835
66,3MZsBdqDrRTJihTHQrO6Dq,Joji,pop,"['alternative r&b', 'viral pop']",5735722
67,3tlXnStJ1fFhdScmQeLpuG,Brent Faiyaz,pop,"['dmv rap', 'hip hop', 'pop', 'r&b', 'rap']",2270634
68,3l0CmX0FuQjFxr8SK7Vqag,Clairo,pop,"['bedroom pop', 'indie pop', 'pop']",3255311
69,6S2OmqARrzebs0tKUEyXyp,Demi Lovato,pop,"['dance pop', 'pop', 'post-teen pop']",22332698
70,45dkTj5sMRSjrmBSBeiHym,Tate McRae,pop,['pop'],2721483
71,31TPClRtHm23RisEBtV3X7,Justin Timberlake,pop,"['dance pop', 'pop']",12050936
72,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,pop,"['dance pop', 'piano rock', 'pop', 'pop rock']",13606146
73,5fMUXHkw8R8eOP2RNVYEZX,Diplo,edm,"['dance pop', 'edm', 'electro house', 'house', 'moombahton', 'ninja', 'pop', 'pop dance', 'tropical house']",2472129
74,3Y7RZ31TRPVadSFVy1o8os,H.E.R.,pop,"['alternative r&b', 'dance pop', 'pop', 'r&b']",5139211
75,16oZKvXb6WkQlVAjwo2Wbg,The Lumineers,pop,"['folk-pop', 'pop', 'pop rock', 'stomp and holler']",4712205
76,63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,pop,"['alt z', 'electropop', 'pop']",13708551
77,7hJcb9fa4alzcOq3EaNPoG,Snoop Dogg,rap,"['g funk', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'west coast rap']",8225008
78,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,edm,"['dance pop', 'edm', 'electropop', 'pop', 'pop dance', 'tropical house']",19067014
79,4fxd5Ee7UefO4CUXgwJ7IP,Giveon,pop,"['pop', 'r&b']",2112166
80,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,pop,"['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap']",7557395
81,13y7CgLHjMVRMDqxdx0Xdo,Gucci Mane,rap,"['atl hip hop', 'dirty south rap', 'gangster rap', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",4312667
82,6oMuImdp5ZcFhWP0ESe6mG,Migos,rap,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'trap']",12330395
83,6VuMaDnrHyPL1p4EHjYLi7,Charlie Puth,pop,"['dance pop', 'pop', 'viral pop']",16064823
84,56oDRnqbIiwx4mymNEv7dS,Lizzo,pop,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'trap queen']",4576360
