,id,name,release_date,artist_id,genre
3796,7EiHtnDemymd1LnoneU6oL,Peer Gynt,2022-02-25,5ihY290YPGc3aY2xTyx7Gy,classical
3797,7iW24qdRvaFOe8U9LlYgMJ,Edvard Grieg,2022-01-07,5ihY290YPGc3aY2xTyx7Gy,classical
3798,3LtRWiqvw4KOVWOO3nfknH,Christmas Piano Instrumentals,2021-11-12,09L72oOms1QBoALUSLqx8u,classical
3799,1l3v5h34S4SMNKFblH6pkr,Letting Go,2022-05-06,09L72oOms1QBoALUSLqx8u,classical
3800,3iDoTDtFiL75JrCWqN8QaS,Flying Away,2022-04-22,09L72oOms1QBoALUSLqx8u,classical
3801,2hZ5KE4dJqxkGocDQPa6FF,Struggling,2022-04-08,09L72oOms1QBoALUSLqx8u,classical
3802,29wAVFuaCeCjCePIaDK2vq,Small Steps,2022-03-25,09L72oOms1QBoALUSLqx8u,classical
3803,1Yv3Ggwfj8aHNtJQeq1bXY,"Rudolf Serkin Live, Vol. 1",2022-04-15,2LmyJyCF5V1eQyvHgJNbTn,classical
3805,16oKZSg3msLgn69IK1puzi,West Side Story (Original Motion Picture Soundtrack),2021-12-03,2LmyJyCF5V1eQyvHgJNbTn,classical
3806,6svVoHVBA41Ma3pHFMO45V,WEST SIDE STORY,2021-11-19,2LmyJyCF5V1eQyvHgJNbTn,classical
3807,3syYFlKHyCm7zb4otxwD95,Bach: Goldberg Variations (Extended Edt.),2021-02-12,1YZhNFBxkEB5UKTgMDvot4,classical
3808,2lAoaPfFfBkOQPTcLBZ6pI,Piano Book (Encore Edition),2019-11-15,1YZhNFBxkEB5UKTgMDvot4,classical
3809,1XORY4rQNhqkZxTze6Px90,Piano Book (Deluxe Edition),2019-03-29,1YZhNFBxkEB5UKTgMDvot4,classical
3810,4swUkJffG80pUz4RwIBnMT,Piano Magic,2018-09-28,1YZhNFBxkEB5UKTgMDvot4,classical
3811,5xjI9myD5a1uHkvAK4M6oU,Great Composers: Handel,2022-05-12,1QL7yTHrdahRMpvNtn6rI2,classical
3812,6wVje3NFFw6qfjqQnndr2F,More Classical Moods: Handel,2022-05-04,1QL7yTHrdahRMpvNtn6rI2,classical
3813,1rPdBs4kVxgA1nD9haVJRw,Handel: La Resurrezione,2022-04-08,1QL7yTHrdahRMpvNtn6rI2,classical
3814,4Zxr2Vagy1WXXeQaebRYpX,"Handel, Beecham: The Gods Go a'Begging",2022-03-25,1QL7yTHrdahRMpvNtn6rI2,classical
3815,2vWLDSjlqJpmhGKM391NFp,Handel: Winged Hands. The Eight Great Suites & Overtures,2022-03-04,1QL7yTHrdahRMpvNtn6rI2,classical
3816,3zzhvQNgAAZTd5zTfxb7Pv,"Liszt: Années de pèlerinage; Légendes (Wilhelm Kempff: Complete Decca Recordings, Vol. 8)",2022-05-13,1385hLNbrnbCJGokfH2ac2,classical
3817,5rXWt6bpEx7iNxRgXCLI6M,Great Composers: Liszt,2022-05-11,1385hLNbrnbCJGokfH2ac2,classical
3818,4DxI6t0QUMDnYr72PnTcI2,"Temperament, works by Tchaikovsky and Liszt",2022-05-06,1385hLNbrnbCJGokfH2ac2,classical
3819,3j49glMXHE4nO94mlpukTD,Liszt: Once upon a time,2022-04-29,1385hLNbrnbCJGokfH2ac2,classical
3820,0atKTsDg8YvHeNuSAtge11,The Art of Gabriel Fauré,2022-05-08,2gClsBep1tt1rv1CN210SO,classical
3821,2E2uUQ1PuHdlnsaG33hdzE,Horizons II,2022-04-29,2gClsBep1tt1rv1CN210SO,classical
3822,0oCT5sc1dYpiTXfc1OP4qY,Fauré & d'Indy: Piano Works,2022-03-18,2gClsBep1tt1rv1CN210SO,classical
3823,1qFepvEwCzbIrIGjZ1fn4l,Fauré: Works for Cello & Piano,2021-11-19,2gClsBep1tt1rv1CN210SO,classical
3824,4iHSwI7eFt2OfFbS33Anqo,Drone Mass,2022-03-18,3IpQziA6YwD53PQ5xbwgLF,classical
3825,4WB6KyTTpn346xtNDDZoq2,Blind Massage (Original Motion Picture Soundtrack),2022-01-30,3IpQziA6YwD53PQ5xbwgLF,classical
3826,3R5B3xyl63tcnXuCkBu8Sm,Personal Effects (Original Motion Picture Soundtrack),2020-05-29,3IpQziA6YwD53PQ5xbwgLF,classical
3827,79x1fDyq0qs8OS75QfEoYC,Last And First Men,2020-02-28,3IpQziA6YwD53PQ5xbwgLF,classical
3828,44clSoUBKJnBSq8wJ5ZiOU,"Schumann: Papillons; Arabeske; Piano Concerto (Wilhelm Kempff: Complete Decca Recordings, Vol. 5)",2022-05-13,2UqjDAXnDxejEyE0CzfUrZ,classical
3829,0ZqsxUNlBfoxwYkjq9Mq7U,More Classical Moods: Schumann,2022-05-04,2UqjDAXnDxejEyE0CzfUrZ,classical
3830,1gZewNitkM2tWpgAFCnA9I,"Schumann: Lied Edition, Vol. 11",2022-04-22,2UqjDAXnDxejEyE0CzfUrZ,classical
3831,1DlglSeatE2kWSlxbrqTzQ,"Berliner Philharmoniker - Mendelssohn, Schumann & Liszt",2022-04-15,2UqjDAXnDxejEyE0CzfUrZ,classical
3832,6o7crqHmA33XZ8ncWzjk4T,Nobuo Uematsu × Hironobu Sakaguchi Works ~ Music from FANTASIAN (Original Game Soundtrack),2021-07-28,3V79CTgRnsDdJSTqKitROv,classical
3833,58sOaY4UGvS4ux354ys6hF,Distant Worlds & a New World Collections (Music from Final Fantasy VIII),2021-03-16,3V79CTgRnsDdJSTqKitROv,classical
3834,58sPibZ10KLQnGdYZ0m7as,Final Fantasy Guitar Collection,2020-08-24,3V79CTgRnsDdJSTqKitROv,classical
3835,7rUJlv1YNyAcCbx9jSLAl0,Distant Worlds and a New World Collections: Music from Final Fantasy VII,2020-06-23,3V79CTgRnsDdJSTqKitROv,classical
3836,7zYvpiRDw9s30IRyNUTSVU,"NAZARENO! Bernstein, Stravinsky, Golijov",2022-05-13,4GQwgdcDQwqtcHICjUNndp,classical
3837,37LQYBhKsdIX8GZlIuBBvA,Simon Rattle Conducts Ravel,2022-04-29,4GQwgdcDQwqtcHICjUNndp,classical
3838,2aRSulmVokzkDQvJ6lmlcv,"Rachmaninov: Piano Concerto No. 2, Op. 18 & Rhapsody on a Theme of Paganini, Op. 43",2022-04-22,4GQwgdcDQwqtcHICjUNndp,classical
3839,5w2awLsT7yJc3TdVId3ODd,Simon Rattle Conducts Haydn,2022-04-15,4GQwgdcDQwqtcHICjUNndp,classical
3841,1Urrycrm9pFy2F3xSoQ3fj,Old Friends New Friends,2021-12-03,5gqhueRUZEa7VDnQt4HODp,classical
3842,1t6aWXi0WtgC6vyWnpNxdM,2X1=4,2021-09-03,5gqhueRUZEa7VDnQt4HODp,classical
3843,6zg9Xz3Xi9a3dIbyRDjJux,Graz,2021-03-29,5gqhueRUZEa7VDnQt4HODp,classical
