,id,name,release_date,artist_id,genre
0,3SpBlxme9WbeQdI9kx7KAV,Certified Lover Boy,2021-09-03,3TVXtAsR1Inumwj472S9r4,rap
2,6OQ9gBfg5EXeNAEwGSs6jK,Dark Lane Demo Tapes,2020-05-01,3TVXtAsR1Inumwj472S9r4,rap
3,7dqpveMVcWgbzqYrOdkFTD,Care Package,2019-08-02,3TVXtAsR1Inumwj472S9r4,rap
4,6kZ42qRrzov54LcAk4onW9,Red (Taylor's Version),2021-11-12,06HL4z0CvFAxyc27GXpf02,pop
5,4hDok0OAJd57SGIT8xuWJH,Fearless (Taylor's Version),2021-04-09,06HL4z0CvFAxyc27GXpf02,pop
6,6AORtDjduMM3bupSWzbTSG,evermore (deluxe version),2021-01-07,06HL4z0CvFAxyc27GXpf02,pop
7,3esNgb0dchNmQ3MhlUVaa7,Dawn FM (Alternate World),2022-01-07,1Xyo4u8uXC1ZmMpatF05PJ,pop
8,2nLOHgzXzwFEpl62zAgCEC,Dawn FM,2022-01-06,1Xyo4u8uXC1ZmMpatF05PJ,pop
9,6YlDIxqEjvY63ffH6AwCjd,After Hours (Deluxe),2020-04-03,1Xyo4u8uXC1ZmMpatF05PJ,pop
10,4XLPYMERZZaBzkJg0mkdvO,Planet Her (Deluxe),2021-06-27,5cj0lLjcoR7YOSnhnX0Po5,pop
11,1nAQbHeOWTfQzbOoFrvndW,Planet Her,2021-06-25,5cj0lLjcoR7YOSnhnX0Po5,pop
13,3xcNRROgwXUvhR9NVrvAR4,Hot Pink (Japan Version),2020-11-11,5cj0lLjcoR7YOSnhnX0Po5,pop
14,3uPnO1aZBwMgWK1DI5zve9,Justice (The Complete Edition),2021-10-08,1uNFoZAHBGtllmzznpCI3s,pop
15,6mzpIm84OXCBxw6Tuhp1OA,Justice (Triple Chucks Deluxe),2021-03-26,1uNFoZAHBGtllmzznpCI3s,pop
16,5dGWwsZ9iB2Xc3UKR0gif2,Justice,2021-03-19,1uNFoZAHBGtllmzznpCI3s,pop
17,6MVsBi4m5eAzfjb6C3JKwp,Sorry 4 The Wait,2022-01-14,55Aa2cqylxrFIXC767Z865,rap
18,2gDny6NDG26azxuTbtNxgq,Trust Fund Babies,2021-10-01,55Aa2cqylxrFIXC767Z865,rap
19,4ljsev5vUnwB2BUFAMvwwy,Tha Carter V (Deluxe),2020-09-25,55Aa2cqylxrFIXC767Z865,rap
20,2upw5IrzeqKApIQZyx5o6r,Beam Me Up Scotty,2021-05-14,0hCNtLu0JehylgoiP8L4Gh,pop
21,6zA5X3CQ5rgLKhTobyV5Id,Queen (Deluxe),2018-11-29,0hCNtLu0JehylgoiP8L4Gh,pop
23,4Rh57STD18rbjXbBrx2X65,Queen,2018-08-10,0hCNtLu0JehylgoiP8L4Gh,pop
24,74vajFwEwXJ61OW1DKSPEa,Positions (Deluxe),2021-02-19,66CXWjxzNUsdJxJ2JdwvnR,pop
25,3euz4vS7ezKGnNSwgyvKcd,Positions,2020-10-30,66CXWjxzNUsdJxJ2JdwvnR,pop
26,5UACk85y1hNRSUtY0ss8pb,k bye for now (swt live),2019-12-23,66CXWjxzNUsdJxJ2JdwvnR,pop
27,4VZ7jhV0wHpoNPCB7Vmiml,An Evening With Silk Sonic,2021-11-12,0du5cEVh5yTK9QJze8zA0C,pop
29,4PgleR09JVnm3zY1fW3XBA,24K Magic,2016-11-17,0du5cEVh5yTK9QJze8zA0C,pop
30,4w6KUt7eyD4paTTNctylCS,Unorthodox Jukebox (Deluxe Edition),2012-12-11,0du5cEVh5yTK9QJze8zA0C,pop
31,7KBjLhk3IM27k3ry4vBk3i,Unorthodox Jukebox,2012-12-10,0du5cEVh5yTK9QJze8zA0C,pop
32,32iAEBstCjauDhyKpGjTuq,=,2021-10-29,6eUKZXaKkcviH0Ku9w2n3V,pop
33,3oIFxDIo2fwuk4lwCmFZCx,No.6 Collaborations Project,2019-07-12,6eUKZXaKkcviH0Ku9w2n3V,pop
34,3T4tUhGYeRNVUGevb0wThu,÷ (Deluxe),2017-03-03,6eUKZXaKkcviH0Ku9w2n3V,pop
35,0MeOIA0wwSa6nW79jy8QcZ,x (Wembley Edition),2015-11-13,6eUKZXaKkcviH0Ku9w2n3V,pop
36,0JGOiO34nwfUdDrD612dOp,Happier Than Ever,2021-07-30,6qqNVTkY8uBg9cP3Jd7DAH,pop
37,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,6qqNVTkY8uBg9cP3Jd7DAH,pop
38,2kzPJWrTjVKEYWWhowXLnz,Happier Than Ever (Edit),2021-07-28,6qqNVTkY8uBg9cP3Jd7DAH,pop
39,7xV2TzoaVc0ycW7fwBwAml,Fine Line,2019-12-13,6KImCVD70vtIoJWnq6nGn3,pop
40,1FZKIm3JVDCxTchXDo5jOV,Harry Styles,2017-05-12,6KImCVD70vtIoJWnq6nGn3,pop
41,2pqdSWeJVsXAhHFuVLzuA8,As It Was,2022-03-31,6KImCVD70vtIoJWnq6nGn3,pop
42,7neiWgd56IO7vi2cRUP8Tj,Spotify Singles,2017-09-27,6KImCVD70vtIoJWnq6nGn3,pop
43,53P2GoEHlMveE3uDzwbaKv,Piano Chill (Extended Version),2021-12-10,6KImCVD70vtIoJWnq6nGn3,pop
44,4UlGauD7ROb3YbVOFMgW5u,ANTI (Deluxe),2016-01-28,5pKCCKE2ajJHZ9KAiaK11H,pop
45,7yjQZX94GxVyqDTehxBejk,Unapologetic (Deluxe Version),2013-01-01,5pKCCKE2ajJHZ9KAiaK11H,pop
46,6nYfHQnvkvOTNHnOhDT3sr,BE,2020-11-20,3Nrfpe0tUJi4K4DXYWgMUX,pop
47,1nScVw87kRJiT2bg2Kswhp,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,3Nrfpe0tUJi4K4DXYWgMUX,pop
48,4I1cAiu9Gko1xwJPZ4lViH,MAP OF THE SOUL : 7,2020-02-21,3Nrfpe0tUJi4K4DXYWgMUX,pop
49,7fZKtzZAsfH0kzeTivu5TG,Slime & B,2020-05-08,7bXgB6jMjp9ATFy66eO08Z,pop
51,3okhA6w5uau6ZNhnVpwVww,Indigo (Extended),2019-10-04,7bXgB6jMjp9ATFy66eO08Z,pop
52,1BfLzaTFI5qKsAAk0Ae6aV,Indigo,2019-06-28,7bXgB6jMjp9ATFy66eO08Z,pop
53,5HBwLKK7l3N8fovxDlTBpE,Scenic Drive (The Tape),2021-12-03,6LuN9FCkKOj5PcnpouEgny,pop
54,6KT8x5oqZJl9CcnM66hddo,Free Spirit,2019-04-05,6LuN9FCkKOj5PcnpouEgny,pop
55,4UNwL1B7JoymNUiTFJa52B,Suncity,2018-10-19,6LuN9FCkKOj5PcnpouEgny,pop
57,6s84u2TUpR3wdUv4NgKA2j,SOUR,2021-05-21,1McMsnEElThX1knmY4oliG,pop
58,6TeOuy8VtjfYy52ntsnu1m,"The Rose Song [From ""High School Musical: The Musical: The Series (Season 2)""]",2021-06-18,1McMsnEElThX1knmY4oliG,pop
59,6MWhePcEWDnC3dG4tJumu7,"Granted [From ""High School Musical: The Musical: The Series (Season 2)""]",2021-06-04,1McMsnEElThX1knmY4oliG,pop
60,71OpEL0ZAD5YpOFBFolErW,Future Nostalgia (The Moonlight Edition),2021-02-12,6M2wZ9GZgrQXHCFfjv46we,pop
62,6qCqOI40caiiu8vcldqKDT,Club Future Nostalgia (DJ MIX),2020-08-28,6M2wZ9GZgrQXHCFfjv46we,pop
63,0yURloAyqmXCjQ1rmX0ltA,Dear Evan Hansen (Original Motion Picture Soundtrack),2021-09-24,7tYKF4w9nC0nq9CsPZTHyP,pop
64,3pLdWdkj83EYfDN6H2N8MR,Black Panther The Album Music From And Inspired By,2018-02-09,7tYKF4w9nC0nq9CsPZTHyP,pop
66,76290XdXVF9rPzGdNRWdCh,Ctrl,2017-06-09,7tYKF4w9nC0nq9CsPZTHyP,pop
67,7IKkHmEk4It4cRdOYanyvW,Punk,2021-10-15,50co4Is1HCEo8bhOyUWKpn,rap
69,3XADnbi4uhYXb7RuSJ7bre,Slime Language 2 (Deluxe),2021-04-16,50co4Is1HCEo8bhOyUWKpn,rap
71,6B26OzQRObxAp1tbf8jeTq,Something for Thee Hotties,2021-10-29,181bsRPaVXVlUKXrxwZfHK,pop
73,0KjckH1EE6HRRurMIXSc0r,Good News,2020-11-20,181bsRPaVXVlUKXrxwZfHK,pop
75,6cpPIYoXlLHhCXHvbKUaEo,Suga (Chopnotslop Remix),2020-04-27,181bsRPaVXVlUKXrxwZfHK,pop
76,2wwCc6fcyhp1tfY3J6Javr,Blue Banisters,2021-10-22,00FQb4jTyendYWaN8pK0wa,pop
77,6QeosPQpJckkW0Obir5RT8,Chemtrails Over The Country Club,2021-03-19,00FQb4jTyendYWaN8pK0wa,pop
78,5XpEKORZ4y6OrCZSKsi46A,Norman Fucking Rockwell!,2019-08-30,00FQb4jTyendYWaN8pK0wa,pop
79,7xYiTrbTL57QO0bb4hXIKo,Lust For Life,2017-07-21,00FQb4jTyendYWaN8pK0wa,pop
80,4UxlLk460BnmQlRV3WiORh,everything means nothing,2020-08-21,2cFrymmkijnjDg9SS92EPM,pop
81,2GQuVFujesadBWknYzObe3,ANONYMOUS,2019-04-26,2cFrymmkijnjDg9SS92EPM,pop
82,3mH6qwIy9crq0I9YQbOuDf,Blonde,2016-08-20,2h93pZq0e7k5yf4dywlkpM,pop
83,392p3shh2jkxUxY2VHvlH8,channel ORANGE,2012-07-10,2h93pZq0e7k5yf4dywlkpM,pop
84,0FAWfXvd58Rm2VUSZMF8pr,Cayendo (Side A - Acoustic),2020-04-03,2h93pZq0e7k5yf4dywlkpM,pop
85,71VX8yv9T2hNIYVZJVUWVp,In My Room,2019-11-02,2h93pZq0e7k5yf4dywlkpM,pop
86,64SrjXrYNfYvQcccFmYEHu,Sin Miedo (del Amor y Otros Demonios) ∞ [Deluxe Version],2020-12-04,1U1el3k54VvEUzo3ybLPlM,pop
87,4EPQtdq6vvwxuYeQTrwDVY,Isolation,2018-04-06,1U1el3k54VvEUzo3ybLPlM,pop
88,6f5gAJpM85TE6aQ81h46T5,Por Vida,2015-02-04,1U1el3k54VvEUzo3ybLPlM,pop
89,2EOWRhAyOt6UmBprRs7Ye1,SAD GIRLZ LUV MONEY (feat. Moliy & Kali Uchis) [Vigro Deep Amapiano Remix],2022-01-07,1U1el3k54VvEUzo3ybLPlM,pop
90,1WNwlBvoohUFZcJt3uLrd4,Cheers to the Best Memories,2021-08-20,7c0XG5cIJTrrAgEC3ULPiq,pop
92,6M4Nu5UgX097dxeF2lm9P8,Featuring Ty Dolla $ign,2020-10-23,7c0XG5cIJTrrAgEC3ULPiq,pop
94,16rRmI5wxWWO5dnRWUKCPA,MIH-TY,2018-10-26,7c0XG5cIJTrrAgEC3ULPiq,pop
95,4MLxuO3jk1GYUfJIMYMZCS,Full Court Press,2022-04-08,137W8MRPWKqSmrBGDBFSop,rap
97,32LNK3gHcEGOh0M7fcmRhb,Stoner's Night,2022-02-11,137W8MRPWKqSmrBGDBFSop,rap
98,7FlJzawttv3aHScUHkaqAo,Wiz Got Wings,2022-01-04,137W8MRPWKqSmrBGDBFSop,rap
99,4KdtEKjY3Gi0mKiSdy96ML,Invasion of Privacy,2018-04-06,4kYSro6naA4h99UJvo89HB,pop
101,47IM97GbpNyDREWlr2HtNM,Gangsta Bitch Music Vol. 2,2017-01-20,4kYSro6naA4h99UJvo89HB,pop
102,4hRSrC7bRqBqDDSfhe5qRO,Gangsta Bitch Music Vol 1,2016-03-07,4kYSro6naA4h99UJvo89HB,pop
103,0Kr65MJsLayLENRXxrlW3Z,"Shake It (feat. Cardi B, Dougie B & Bory300)",2022-04-15,4kYSro6naA4h99UJvo89HB,pop
104,2JyArayVlT6t3MVWLLdSwZ,Chip Chrome & The Mono-Tones (Deluxe),2020-12-11,77SW9BnxLY8rJ0RciFqkHh,pop
105,4uNgt1uQs6wZRm4giB3shX,Chip Chrome & The Mono-Tones,2020-09-25,77SW9BnxLY8rJ0RciFqkHh,pop
106,0ODLCdHBFVvKwJGeSfd1jy,Hard To Imagine The Neighbourhood Ever Changing,2018-11-02,77SW9BnxLY8rJ0RciFqkHh,pop
107,18iFxjZugvKhuNNMbLjZJF,Wiped Out!,2015-10-30,77SW9BnxLY8rJ0RciFqkHh,pop
108,2mKqHATk7WVbtazVkSe9w0,#000000 & #FFFFFF,2014-11-28,77SW9BnxLY8rJ0RciFqkHh,pop
109,21jF5jlMtzo94wbxmJ18aa,30,2021-11-19,4dpARuHxo51G3z768sgnrY,pop
110,3AvPX1B1HiFROvYjLb5Qwi,25,2015-11-20,4dpARuHxo51G3z768sgnrY,pop
111,2DAh6Er0J8AxZDu6W1pjAW,21,2011-02-22,4dpARuHxo51G3z768sgnrY,pop
113,0yMLTRxwcDN5XHjP5w8jAH,"If I Can’t Have Love, I Want Power (Extended)",2022-01-03,26VFTg2z8YR0cCuwLzESi2,pop
114,5QYHgIlsIgm1lmLWXUpaPS,Love And Power EP: Power,2021-12-31,26VFTg2z8YR0cCuwLzESi2,pop
115,6dZXvfu23DR8iooI6OxXI4,Love And Power EP: Love,2021-12-21,26VFTg2z8YR0cCuwLzESi2,pop
116,3sq0hRtlT2SYeYajr5Cx22,"If I Can’t Have Love, I Want Power",2021-08-27,26VFTg2z8YR0cCuwLzESi2,pop
117,5x7JzoE4A3DwwU6FPt8qws,Overexposed,2021-06-20,04gDigrS5kc9YWfZHwBETP,pop
118,1pCA38N6MkLlthXtAOvZTU,JORDI (Deluxe),2021-06-11,04gDigrS5kc9YWfZHwBETP,pop
119,3mAaCQNqRARBgzS3BFWwH0,Red Pill Blues + (Deluxe),2018-11-21,04gDigrS5kc9YWfZHwBETP,pop
120,0fe04UycvOyXQD4o3uA7Vo,Red Pill Blues (Deluxe),2018-06-15,04gDigrS5kc9YWfZHwBETP,pop
121,2ZXwd2AzsVWTwp1oT3tfMI,TRAP CAKE VOL. 2,2022-02-25,1mcTU81TzQhprhouKaTkpq,pop
122,2Nt6MDJXfoxQ22tIQgWXIh,VICE VERSA,2021-12-10,1mcTU81TzQhprhouKaTkpq,pop
123,3fq06DDIkadDRB9RuBb22v,Afrodisíaco,2020-11-13,1mcTU81TzQhprhouKaTkpq,pop
124,0i9MBa4hxPQcGqcOn5YSOz,Concierto Virtual en Tiempos de COVID-19 Desde el Coliseo de Puerto Rico,2020-05-29,1mcTU81TzQhprhouKaTkpq,pop
125,37rUi63O4koMFvrSC1EMam,"Trap Cake, Vol. 1",2019-05-31,1mcTU81TzQhprhouKaTkpq,pop
126,2wsEKWXcUpVNR2AKprorV3,Finally Famous (10th Anniversary Deluxe Edition Remixed and Remastered),2021-06-25,0c173mlxpT3dSFRgMO8XPh,pop
127,6slkiHeFK3wW2D1mao0TX3,Detroit 2,2020-09-04,0c173mlxpT3dSFRgMO8XPh,pop
128,0llyIxX3nDC3hobbGibVZl,Double Or Nothing (& Metro Boomin),2017-12-08,0c173mlxpT3dSFRgMO8XPh,pop
129,7kUuNU2LRmr9XbwLHXU9UZ,The Lion King: The Gift [Deluxe Edition],2020-07-31,6vWDO969PvNqNYHIOW5v0m,pop
130,552zi1M53PQAX5OH4FIdTx,The Lion King: The Gift,2019-07-19,6vWDO969PvNqNYHIOW5v0m,pop
131,35S1JCj5paIfElT2GODl6x,HOMECOMING: THE LIVE ALBUM,2019-04-17,6vWDO969PvNqNYHIOW5v0m,pop
133,6nRmgnXFlSsfPYTtRp52gR,Hidden Figures - Original Score,2017-01-06,2RdwBSPQiwcmiDo9kixcl8,pop
134,0lrmy4pJINsFzycJvttX2W,G I R L,2014-03-03,2RdwBSPQiwcmiDo9kixcl8,pop
135,1OAWcsXZdaFk51t4m7j5Ln,The Billionaire Boys Club Tape,2012-07-30,2RdwBSPQiwcmiDo9kixcl8,pop
136,5pYJCnVKIXdZVySWQe4DEl,In My Mind (Deluxe Edition),2006-07-25,2RdwBSPQiwcmiDo9kixcl8,pop
137,2AYyw0FbE1GXlNHnx2Gj4a,In My Mind,2006-01-01,2RdwBSPQiwcmiDo9kixcl8,pop
138,4nr6ytQ4OrEralEu4LhIVp,Dreamland (+ Bonus Levels),2021-09-09,4yvcSjfu4PC0CYQyLy4wSq,pop
140,5bfpRtBW7RNRdsm3tRyl3R,Dreamland,2020-08-07,4yvcSjfu4PC0CYQyLy4wSq,pop
142,6qb9MDR0lfsN9a2pw77uJy,How To Be A Human Being,2016-08-26,4yvcSjfu4PC0CYQyLy4wSq,pop
143,2sDPTkswUWDLtZYiOzubTe,Wonder (Deluxe),2020-12-07,7n2wHs1TKAczGzO7Dd2rGr,pop
144,01haNCctw4EUPl8xUHVhdl,Wonder (Holiday Deluxe),2020-12-05,7n2wHs1TKAczGzO7Dd2rGr,pop
145,3Lp4JKk2ZgNkybMRS3eZR5,Wonder,2020-12-04,7n2wHs1TKAczGzO7Dd2rGr,pop
146,0xzScN8P3hQAz3BT3YYX5w,Shawn Mendes (Deluxe),2019-06-19,7n2wHs1TKAczGzO7Dd2rGr,pop
147,2VP96XdMOKTXefI8Nui23s,Shawn Mendes,2018-05-25,7n2wHs1TKAczGzO7Dd2rGr,pop
148,47zMF6LrXQ8odi6Xv1unC0,Smile,2020-08-28,6jJ0s89eD6GaHleKKya26X,pop
149,0UlbGi4oAth8s6rwaGSU8Z,Witness (Deluxe),2017-06-09,6jJ0s89eD6GaHleKKya26X,pop
150,5MQBzs5YlZlE28mD9yUItn,PRISM (Deluxe),2013-10-18,6jJ0s89eD6GaHleKKya26X,pop
151,06mXfvDsRZNfnsGZvX2zpb,Music Of The Spheres,2021-10-15,4gzpq5DPGxSnKTe4SA8HAU,pop
152,7z0efuBXAnPfu60aOL3QFV,Everyday Life,2019-11-22,4gzpq5DPGxSnKTe4SA8HAU,pop
153,6hBQkPnq5u1BwZncSEDEgs,Love For Sale (Deluxe),2021-10-01,1HY2Jd0NmPuamShAr6KMms,pop
154,3OevODyllQCrhudfLLnV3y,Dawn Of Chromatica,2021-09-03,1HY2Jd0NmPuamShAr6KMms,pop
155,6Yf9kML4wT3opmXhTUIfk7,BORN THIS WAY THE TENTH ANNIVERSARY,2021-06-25,1HY2Jd0NmPuamShAr6KMms,pop
156,05c49JgPmL4Uz2ZeqRx5SP,Chromatica,2020-05-29,1HY2Jd0NmPuamShAr6KMms,pop
157,4sLtOBOzn4s3GDUv3c5oJD,A Star Is Born Soundtrack,2018-10-05,1HY2Jd0NmPuamShAr6KMms,pop
158,6yXPyhVxt3PHBwkinPFn6I,Shockwave,2021-06-11,64KEffDW9EtZ1y2vBYgq8T,edm
159,5G5s00CN4Kmxz340ED2WL2,ATTENTION: MILEY LIVE,2022-04-29,5YGY8feqx7naU7z4HrwZM6,pop
161,5BRhg6NSEZOj0BR6Iz56fR,Plastic Hearts,2020-11-27,5YGY8feqx7naU7z4HrwZM6,pop
162,6Be5Qxq0Xm0CGyxs5JUYX9,SHE IS COMING,2019-05-31,5YGY8feqx7naU7z4HrwZM6,pop
163,6zp8MKrhIwSdZojADmIDim,Sailing Soul(s),2021-03-19,5ZS223C6JyBfXasXxrRqOk,pop
164,1JsySWOa2RchsBB2N4313v,Chilombo (Deluxe),2020-07-17,5ZS223C6JyBfXasXxrRqOk,pop
165,5jlE1zlhT3mEWw0mRpN920,Chilombo,2020-03-06,5ZS223C6JyBfXasXxrRqOk,pop
166,5Nn3fX7CuJo7tbibtqASmf,Familia,2022-04-08,4nDoRrQiYLoBzwC5BhVJzF,pop
168,3Vsbl0diFGw8HNSjG8ue9m,Romance,2019-12-06,4nDoRrQiYLoBzwC5BhVJzF,pop
169,2vD3zSQr8hNlg0obNel4TE,Camila,2018-01-12,4nDoRrQiYLoBzwC5BhVJzF,pop
170,6pOiDiuDQqrmo5DbG0ZubR,MONTERO,2021-09-17,7jVv8c5Fj3E9VhNjxT4snq,pop
171,1GCduuJPhQGgnQEMxhp0fc,INDUSTRY BABY 2.0,2021-10-09,7jVv8c5Fj3E9VhNjxT4snq,pop
172,6nCJAxRvXmPkPiZo8Vh5ZG,Libertad 548,2019-09-27,0TnOYISbd1XYRBk9myaseg,latin
173,6ZSNnOY2ESMNoVQ5DdvHrj,Gotti (Original Motion Picture Soundtrack),2018-06-14,0TnOYISbd1XYRBk9myaseg,latin
174,5rd2m0UMkUU9lqpCatsD5S,Sunbeam (feat. Pitbull),2017-10-18,0TnOYISbd1XYRBk9myaseg,latin
175,0nS4q7eEpInAcQgORMX9Vn,Sparks Fly (feat. Pitbull),2017-08-16,0TnOYISbd1XYRBk9myaseg,latin
176,4jtKPpBQ5eneMwEI94f5Y0,Climate Change,2017-03-17,0TnOYISbd1XYRBk9myaseg,latin
177,1gMxiQQSg5zeu4htBosASY,Made In The A.M. (Deluxe Edition),2015-11-13,4AK6F7OLvEQ5QYCBNiQWHq,pop
178,4gCNyS7pidfK3rKWhB3JOY,FOUR (Deluxe),2014-11-17,4AK6F7OLvEQ5QYCBNiQWHq,pop
179,7p1fX8aUySrBdx4WSYspOu,Midnight Memories (Deluxe),2013-11-25,4AK6F7OLvEQ5QYCBNiQWHq,pop
180,2sWX3HYnZjPZ9MrH6MFsBt,Take Me Home (Expanded Edition),2012-11-12,4AK6F7OLvEQ5QYCBNiQWHq,pop
181,6cunQQ7YZisYOoiFu2ywIq,Up All Night,2012-05-25,4AK6F7OLvEQ5QYCBNiQWHq,pop
182,2yI4m5Yu2tl8v0It5P9WVz,WHO CARES?,2022-03-11,7pbDxGE6nQSZVfiFdq9lOL,pop
183,1Dtg3Qo9eMhrbT2Yr9EUOz,Live at Radio City Music Hall,2020-09-30,7pbDxGE6nQSZVfiFdq9lOL,pop
184,5CNckxfLf4TCoMOoxgAU8l,Pony,2019-10-25,7pbDxGE6nQSZVfiFdq9lOL,pop
185,2NBVxjZcbH5H1N1Ab2ExDH,Apricot Princess,2017-04-26,7pbDxGE6nQSZVfiFdq9lOL,pop
186,32wYrmt3fg2c8maA80Ioc2,Bcos U Will Never B Free,2016-11-07,7pbDxGE6nQSZVfiFdq9lOL,pop
187,1dg0gmrCaEbENVXpPIvi1m,lately I feel EVERYTHING,2021-07-16,3rWZHrfrsPBxVy692yAIxF,pop
188,2kZyqn4Cmr78D74K9TcO4K,THE ANXIETY,2020-03-13,3rWZHrfrsPBxVy692yAIxF,pop
189,3Ynja7tBxfG822hEc8B7Px,WILLOW,2019-08-09,3rWZHrfrsPBxVy692yAIxF,pop
190,2WfV3cpI2BUuIxMISh9nqF,blue water road,2022-04-29,0cGUm45nv7Z6M6qdXYQGTX,pop
192,6ROLwnmW9pOioLned0DaP3,It Was Good Until It Wasn't,2020-05-08,0cGUm45nv7Z6M6qdXYQGTX,pop
194,73ZvpuYhKDr2FW4vlPsTpW,While We Wait,2019-02-22,0cGUm45nv7Z6M6qdXYQGTX,pop
195,43tSLc6ZxW8TTRLrBO0SU1,EUPHORIA SEASON 2 OFFICIAL SCORE (FROM THE HBO ORIGINAL SERIES),2022-04-22,2feDdbD5araYcm6JhFHHw7,pop
196,0FSsRH1jeZqKbGcHwq3UO0,Imagination & the Misfit Kid,2019-11-22,2feDdbD5araYcm6JhFHHw7,pop
198,788r22Bhr3IHLTNPy8pZea,Euphoria (Original Score from the HBO Series),2019-10-04,2feDdbD5araYcm6JhFHHw7,pop
199,0ujHQ5WCLuKJQXOqXpGtpf,"LABRINTH, SIA & DIPLO PRESENT... LSD",2019-04-12,2feDdbD5araYcm6JhFHHw7,pop
200,28adqly9V7wm5DFr7hlqtK,Los Dioses,2021-01-22,1i8SpTcr7yvPOmcqrbnVXY,latin
201,69iuPQsXel3luOSDNF0q2Q,Enoc,2020-09-04,1i8SpTcr7yvPOmcqrbnVXY,latin
202,7f6r6ijWtMJ0QYydwuCYvH,Nibiru,2019-11-29,1i8SpTcr7yvPOmcqrbnVXY,latin
203,0SukGZiXMtmsZoxstkBtNR,Aura,2018-08-24,1i8SpTcr7yvPOmcqrbnVXY,latin
204,4s05NbwGgw5SO42AdsN5Oo,Odisea,2017-08-25,1i8SpTcr7yvPOmcqrbnVXY,latin
205,4lPqFAvgmG97pxyxQsyCQx,Still Over It,2021-11-05,57LYzLEk2LcFghVwuWbcuS,pop
206,7xILMK2dqawf30xGvHQvQC,Over It (Complete Set),2020-11-20,57LYzLEk2LcFghVwuWbcuS,pop
207,36FCfBWbs9gwznVCWC4gg4,Home For The Holidays,2020-11-16,57LYzLEk2LcFghVwuWbcuS,pop
208,1qgJNWnPIeK9rx7hF8JCPK,Over It,2019-10-04,57LYzLEk2LcFghVwuWbcuS,pop
209,2WmJ5wp5wKBlIJE6FDAIBJ,Life of a DON,2021-10-08,4Gso3d4CscCijv0lmajZWs,pop
211,69RuKg34VBwhfiGuMpXUWQ,Heaven Or Hell (CHOPNOTSLOP REMIX),2020-04-17,4Gso3d4CscCijv0lmajZWs,pop
212,7z4GhRfLqfSkqrj5F3Yt2B,Heaven Or Hell,2020-03-13,4Gso3d4CscCijv0lmajZWs,pop
213,2VubyYz7rZ5Z68IJ3CjwNf,Donny Womack,2018-08-02,4Gso3d4CscCijv0lmajZWs,pop
214,2Sq9AIsIrad2GygwB6QLPt,7,2018-09-14,1Cs0zKBU1kc0i8ypK3B9ai,edm
215,2pdfV2U48rhyEiK1J1ViF1,Listen Again,2015-11-27,1Cs0zKBU1kc0i8ypK3B9ai,edm
216,7eQGtkzCgrIWDOe76E9F8t,CLOUDS (THE MIXTAPE),2021-03-26,6fOMl44jA4Sp5b9PpYCkzz,rap
217,46xdC4Qcvscfs3Ai2RIHcv,The Search,2019-07-26,6fOMl44jA4Sp5b9PpYCkzz,rap
218,1KOmHyNLuOe5YrPhD3Juuf,Perception,2017-10-06,6fOMl44jA4Sp5b9PpYCkzz,rap
219,75fT8UQEDnekHNhRnbdpNI,Therapy Session,2016-04-22,6fOMl44jA4Sp5b9PpYCkzz,rap
220,3Qq4kVfHPrs8xPKIYKmctl,Mansion,2015-03-31,6fOMl44jA4Sp5b9PpYCkzz,rap
221,52QMK9SFNjiuz3ipkuVVZu,A Different Christmas,2021-11-19,2EMAnMvWE2eb56ToJVfCWs,pop
222,272GPDEjWzJtyZfHDWFXBy,A N N I V E R S A R Y (Deluxe),2021-02-26,2EMAnMvWE2eb56ToJVfCWs,pop
223,5KpXxX7OUDXRs25qLyN8NA,A N N I V E R S A R Y,2020-10-02,2EMAnMvWE2eb56ToJVfCWs,pop
224,6m5qlaMzLtNsQDj3DQY5ji,The Lo-Fis,2020-12-04,57vWImR43h4CaDao012Ofp,pop
225,0LEiJIsoVxfkiGOpUCyZez,Apollo XXI,2019-05-24,57vWImR43h4CaDao012Ofp,pop
226,2CSZcX7hFZNXMuORnICwk3,Live Without Your Love (with Steve Lacy) [Remixes],2020-10-02,57vWImR43h4CaDao012Ofp,pop
227,1gqhH6w2xLjNLBzdLTuIj4,Live Without Your Love (with Steve Lacy) [Solardo Remix],2020-09-25,57vWImR43h4CaDao012Ofp,pop
228,05LEST8E8mkEIl2LRfUkcI,War & Leisure,2017-12-01,360IAlyVv4PCEVjgyMZrxK,pop
229,6v1KAcOknj5z6QxMGh3mlY,Spotify Sessions,2016-06-24,360IAlyVv4PCEVjgyMZrxK,pop
230,2spo3eW32PY4R6cHSdAPUX,Wildheart (Deluxe Version),2015-09-02,360IAlyVv4PCEVjgyMZrxK,pop
232,1dDfjR6KqXwa6I8XmPXnxr,Legendary (Deluxe Edition),2019-08-23,5LHRHt1k9lMyONurDHEdrp,rap
233,6hHIX3lfGKnZ2ji41YZMVV,Legendary,2019-06-07,5LHRHt1k9lMyONurDHEdrp,rap
235,2AoE3mTcrazotgJ8PTwxOM,Kyoto,2018-02-16,5LHRHt1k9lMyONurDHEdrp,rap
