,id,name,artist_id,artist,album_id,album,popularity,playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
1467,5cpJFiNwYyWwFLH0V6B3N8,Del Mar,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,69iuPQsXel3luOSDNF0q2Q,Enoc,74,16,0.759,0.636,6,-5.585,1,0.0369,0.0224,0.000143,0.166,0.536,109.976,214507,4
1468,4bF2y8rR7GUjrd5LNEvej3,París,62YF0FglEltB3CnVIjoko8,Ingratax,6Ktv94u6eUIZBiUiBwOADD,París,79,16,0.57,0.455,1,-5.748,0,0.0996,0.441,0.000746,0.0654,0.399,167.933,151429,4
1469,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,80,16,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
1470,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,80,16,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
1471,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,80,19,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
1472,2XIc1pqjXV3Cr2BQUGNBck,LA NOCHE DE ANOCHE,4q3ewBCX7sLwd24euuV69X,Bad Bunny,2d9BCZeAAhiZWPpbX9aPCW,EL ÚLTIMO TOUR DEL MUNDO,80,19,0.856,0.618,7,-4.892,1,0.286,0.0303,0.0,0.0866,0.391,81.993,203201,4
1473,6PDlkWmrq2ZKiUuFt2aQsH,Loco,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,0Aq33KpcbXrHkuyfMhEORI,Loco,75,16,0.77,0.899,8,-2.981,1,0.0494,0.222,1.14e-06,0.0894,0.851,128.05,231604,4
1474,6PDlkWmrq2ZKiUuFt2aQsH,Loco,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,0Aq33KpcbXrHkuyfMhEORI,Loco,75,16,0.77,0.899,8,-2.981,1,0.0494,0.222,1.14e-06,0.0894,0.851,128.05,231604,4
1475,6PDlkWmrq2ZKiUuFt2aQsH,Loco,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,0Aq33KpcbXrHkuyfMhEORI,Loco,75,19,0.77,0.899,8,-2.981,1,0.0494,0.222,1.14e-06,0.0894,0.851,128.05,231604,4
1476,6PDlkWmrq2ZKiUuFt2aQsH,Loco,14zUHaJZo1mnYtn6IBRaRP,Justin Quiles,0Aq33KpcbXrHkuyfMhEORI,Loco,75,19,0.77,0.899,8,-2.981,1,0.0494,0.222,1.14e-06,0.0894,0.851,128.05,231604,4
1477,6IPNp9PfaEqrzotY47TIWy,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",540vIaP2JwjQb9dm3aArA4,DJ Snake,2TGtXG18s21Q1jnY2TC39M,"SG (with Ozuna, Megan Thee Stallion & LISA of BLACKPINK)",76,16,0.8,0.837,6,-2.807,0,0.0491,0.00406,0.00313,0.0904,0.702,100.015,225600,4
1478,71R8HJxQk5qMiRstrlXN9t,2/Catorce,1mcTU81TzQhprhouKaTkpq,Rauw Alejandro,23ceOvjypWsCUj9ZrW8Fno,2/Catorce,76,16,0.54,0.455,3,-5.988,1,0.224,0.675,1.08e-05,0.12,0.432,83.876,212032,4
1479,0cOa970mzTWAxKtltpkpLc,Miénteme,7vXDAI8JwjW531ouMGbfcp,TINI,4D9XS6o1GNMmuUWhI5Qixg,Miénteme,80,16,0.85,0.541,2,-4.522,1,0.0674,0.161,5.01e-06,0.286,0.916,92.003,165275,4
1480,2FSGUA0gFgGeQdprjtGM2M,EL MAKINON,790FomKkXshlbRYZFtlgla,KAROL G,5CS8E6JVACItYto4OOJoPW,KG0516,79,16,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,209160,4
1481,2FSGUA0gFgGeQdprjtGM2M,EL MAKINON,790FomKkXshlbRYZFtlgla,KAROL G,5CS8E6JVACItYto4OOJoPW,KG0516,79,16,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,209160,4
1482,2FSGUA0gFgGeQdprjtGM2M,EL MAKINON,790FomKkXshlbRYZFtlgla,KAROL G,5CS8E6JVACItYto4OOJoPW,KG0516,79,19,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,209160,4
1483,2FSGUA0gFgGeQdprjtGM2M,EL MAKINON,790FomKkXshlbRYZFtlgla,KAROL G,5CS8E6JVACItYto4OOJoPW,KG0516,79,19,0.635,0.706,5,-3.224,0,0.125,0.256,0.0,0.108,0.443,88.863,209160,4
1484,4uoR6qeWeuL4Qeu2qJzkuG,Hawái,1r4hJ1h58CWwUQe3MxPuau,Maluma,3GrNH56DyfyEvBAZ3Otptm,Hawái,74,16,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,200198,4
1485,4uoR6qeWeuL4Qeu2qJzkuG,Hawái,1r4hJ1h58CWwUQe3MxPuau,Maluma,3GrNH56DyfyEvBAZ3Otptm,Hawái,74,16,0.787,0.728,6,-3.455,0,0.389,0.189,2.29e-05,0.0629,0.545,180.066,200198,4
