,id,name,artist_id,album_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
24,7mXNYEVh9FW72c12qBaO3p,Only You,4AVFqumd2ogHFlRbKIjp1t,7HYcGsdfiY8AEOgGesSknZ,64,0.483,0.917,3,-2.528,1,0.0438,0.00235,0.000347,0.119,0.323,129.035,145174,4
25,1uGsxm2hkpBHiPvn8g2zwH,Set Me Free (feat. Aloe Blacc),5X4LWwbUFNzPkEas04uU82,5mzCJJA5kAQRgHZIUIpR0t,55,0.45,0.865,7,-5.345,1,0.069,0.0181,1.37e-06,0.418,0.209,122.565,165917,4
26,0jitsmziKMI9MpzENnB0Tc,Hurts Like This,45eNHdiiabvmbp4erw26rg,0KgcBsDY5uFt4EaG3roI3x,50,0.617,0.795,1,-4.567,0,0.0955,0.0411,0.0,0.0898,0.415,126.06,238095,4
27,7GiozRoMk95aFl1WbrDdjX,Nobody,5jAMCwdNHWr7JThxtMuEyy,0n1BagGDuJad065Qjb7enT,63,0.818,0.773,8,-5.714,0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016,143953,4
28,3S2ArNKZEcb9JiBX9WAv4z,Heartless,4hHvJgsm5erOOP97SBJ8uQ,1ZGdHVWwoIvBTDuYz4gG7g,41,0.616,0.869,1,-4.032,1,0.0431,0.0187,0.0,0.063,0.572,125.935,178960,4
29,1p04Tm0c2tnIdgOYIpcioh,Coming Over - VIP,5R3Hr2cnCCjt220Jmt2xLf,1hSyRaCKfMvbiTXXtlHW46,37,0.566,0.804,8,-5.125,1,0.246,0.0914,0.000221,0.0912,0.581,173.928,200000,4
30,3DKWSWJsNtRQil4FsytGHD,Losing My Mind,521qvhdobR0GzhvU6TFw76,0OS7ve0wMwbUSyVGvcthMf,44,0.445,0.79,4,-5.641,1,0.0528,0.335,0.0412,0.12,0.0737,127.984,386250,4
31,0cvMWzztDy1wNQkBqae8w4,Ready To Love,2wX6xSig4Rig5kZU6ePlWe,2DZEdOT8Y9knkZAUjpG7mT,60,0.598,0.815,11,-4.481,1,0.0858,0.0606,0.0,0.176,0.383,121.986,188852,4
32,06PBQ4rDmHRVfWsszDwLTa,Feel Like,7lZauDnRoAC3kmaYae2opv,4iI8ZZ3E7hjwdKchSZXQfC,41,0.571,0.708,1,-3.833,1,0.0327,0.0202,0.0,0.162,0.49,114.872,200347,4
33,2cXlDeF2sUoZRQgYQZ2nb0,Brighter Side,1rSGNXhhYuWoq9BEz5DZGO,0osvFkZRM9NfQGUTM0EzOT,44,0.54,0.897,0,-3.246,1,0.029,0.118,0.0,0.171,0.428,127.954,200625,4
34,1suqXPrYygZ7BYiSfaVZE4,Blame Myself,45eNHdiiabvmbp4erw26rg,4YomxhmDglPvD93W3T6l1V,57,0.392,0.737,8,-3.882,1,0.0857,0.0523,0.000141,0.244,0.402,139.956,230571,4
35,45CwQAnBujkKzbDKX5wJmv,Colorblind (feat. Dayseeker),5CdJjUi9f0cVgo9nFuJrFa,7zxLuEY7mKLKdyWjnCfP35,47,0.492,0.57,5,-5.123,1,0.032,0.169,0.0,0.271,0.266,140.037,199286,4
36,7cmpWAZsamIlIiyU1aMGZD,Quantum,60d24wfXkVzDSfLS6hyCjZ,35xmlcqBI4rtJZXiDAI9Xo,63,0.627,0.902,6,-5.149,0,0.0384,0.0105,0.952,0.0997,0.135,128.021,178594,4
37,7yfnNGWg10OgBjpGx1G2M7,Safe & Sound,521qvhdobR0GzhvU6TFw76,4jVNpfwJ31athD8jR5Mg1x,47,0.488,0.719,10,-6.269,1,0.0317,0.0445,0.000184,0.0983,0.142,100.012,208800,4
38,2wG7MgpfXMCzQcTPCt78Tb,Getting Late (feat. Danni Carra),20DZAfCuP1TKZl5KcY7z3Q,1U1KPw61pnyjLktp0nCiPj,52,0.43,0.811,3,-2.712,1,0.0621,0.0315,0.0,0.315,0.238,159.988,231750,4
39,7BPTtDK064b41v0LiopTnC,42,1LOB7jTeEV14pHai6EXSzF,5nM1hSGJ8RcZxeWoDa1Uq1,0,0.698,0.847,4,-4.372,0,0.0366,0.0499,0.0,0.338,0.508,119.985,168625,4
40,7pDdE5FLqcNCvjxzRzm80r,Breathe (feat. kaspara),6i1GVNJCyyssRwXmnaeEFH,5MYFonEyI51lu0JHBpSRfK,63,0.753,0.749,6,-5.214,1,0.0314,0.0546,4.39e-06,0.166,0.589,121.988,175082,4
41,6F3htwbMYqes3xVs5Vorkm,Fight For,1rSGNXhhYuWoq9BEz5DZGO,3MVS0kNgm4WMdV04E7Vzu2,38,0.581,0.822,5,-3.55,0,0.0577,0.173,0.0,0.153,0.188,126.96,217323,4
42,7u6EvUNJUmycM4IHEiHasm,Losing My Religion (feat. MKLA),77AiFEVeAVj2ORpC85QVJs,2jS5seVFSTaXWGJTi2Zz48,60,0.602,0.821,10,-8.507,0,0.0396,0.0202,0.042,0.11,0.286,123.98,168387,4
43,6D9pncRlZZoq4oc1tzAC1y,Silver Lining,1UtBjqMZBAmqIPlDrKu7Tr,21WYCgAsF27UnSt3O9fIP0,49,0.633,0.844,5,-3.815,0,0.0461,0.0451,0.0,0.097,0.637,125.032,177746,4
44,2dyrLrVopYKGc3H9oOYSmZ,Problems,1l2ekx5skC4gJH8djERwh1,6L2C3wz8KVARtC4wqrDJTG,58,0.721,0.768,3,-4.371,1,0.0685,0.21,0.00843,0.262,0.468,124.076,179032,4
45,2Q8fFORnsDE6I3RNvSLXSf,Gotta Be You,4j5KBTO4tk7up54ZirNGvK,2zzcyknjN9v95n0OYg8paf,61,0.642,0.869,6,-5.271,0,0.0452,0.252,0.0288,0.0708,0.376,123.91,149032,4
46,0d2F9wcykuZ1QzDMcI0Mf0,Miles To Go,6TQj5BFPooTa08A7pk8AQ1,5yxiQyMmKQmC4x9U8rfR7A,53,0.775,0.735,5,-5.585,0,0.0369,0.0363,0.131,0.103,0.172,125.025,198203,4
47,5MxKAr6Ui5hQ9TtjdnlmrR,Anywhere With You,4D75GcNG95ebPtNvoNVXhz,0JaOI27aTExNAnLHpKi2wl,18,0.596,0.743,6,-4.149,1,0.0302,0.0696,2.37e-06,0.202,0.531,125.883,158807,4
48,3Qt4d1IoO5yhQFAUFsTXSK,So Good To Me,1rSGNXhhYuWoq9BEz5DZGO,3qFfusBUAlH5hfZfm5Kq38,48,0.543,0.921,7,-5.224,1,0.0707,0.0503,7.6e-06,0.147,0.25,126.014,216258,4
49,45srzqej6QL7I5CQtorj0d,Save Me (feat. Violet Days) - Tungevaag Remix,3PlRvQnVE3XAbtHUNc4nic,7m25wyaJlVVEOd5UX77CxR,32,0.612,0.701,5,-4.887,0,0.048,0.159,0.0,0.352,0.294,128.01,171797,4
