,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
703,Jazz Instrumental Relax Center,New Year's Eve Jazz,75dFH4GMGExHXivHrRRtk4,10,0.73,0.267,6,-11.082,1,0.0391,0.862,0.943,0.184,0.718,119.864,197000,4
704,Grupo Firme,Gracias - En Vivo,2XlGKZNMkRKvEJsbwQ6MCl,77,0.578,0.801,8,-4.665,1,0.071,0.171,0.0,0.651,0.706,114.12,235221,4
705,Liam Wilson,At That Point In Time - Mixed,5pJGhSJ1xfVJ22eDNWdjhb,15,0.405,0.956,6,-9.464,1,0.045,0.000703,0.71,0.371,0.227,141.547,271134,4
706,Miley Cyrus,Prisoner (feat. Dua Lipa),2Oycxb8QbPkpHTo8ZrmG0B,80,0.781,0.67,3,-3.912,0,0.0452,0.0103,0.0,0.0761,0.595,127.99,169333,4
707,Jacob Lizotte,First Strike,4VlWDHri8FFZEIi79khfmm,12,0.49,0.852,8,-9.134,1,0.03,0.0312,0.692,0.148,0.493,135.995,257441,4
708,Lil Uzi Vert,Silly Watch,5egD7A5x9AHdVO2fMo3Wbo,70,0.903,0.535,8,-6.238,1,0.286,0.0298,0.0,0.0851,0.157,130.117,195692,4
709,Workout Music ,Memories (Remix),2TSUxzMC1BPOs85maWSQRn,17,0.841,0.915,11,-5.961,1,0.0649,0.0548,0.0159,0.0575,0.977,127.992,256440,4
710,Megan Thee Stallion,Savage,55CHeLEfn5iJ0IIkgaa4si,74,0.843,0.741,11,-5.609,1,0.334,0.0252,0.0,0.096,0.68,168.983,155497,4
711,015B,I Just Want To Talk To You,3U8IhhOQMG3teZsZOKgfhV,10,0.595,0.542,2,-5.512,1,0.0303,0.6,0.0,0.12,0.183,76.025,285592,4
712,John Legend,Wild (feat. Gary Clark Jr.),4rVW6XqAsSaf5vOwc8FREW,73,0.557,0.585,8,-6.201,1,0.0431,0.036,0.0,0.176,0.305,63.392,196907,4
713,015B,Just 5 Minutes,14tveOxeox9mEBU8jHDoDs,12,0.514,0.624,4,-3.621,1,0.0485,0.487,0.0,0.236,0.128,79.52,250686,4
714,Money Man,24,2FVMbLuIxo0dz3KLXgN6Jh,73,0.842,0.715,2,-6.03,1,0.0912,0.0265,0.0554,0.0831,0.428,126.021,160952,4
715,Philanthrope,Ocean Patio,3qJCPsmuewuWF2jkOqKOEY,9,0.744,0.117,1,-14.29,1,0.134,0.296,0.814,0.0764,0.454,84.991,150087,4
