,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
809,October,When I'm Close To You - 2020 Remastered,7zCTxEqTb4COCwoNrhyGHF,8,0.333,0.0491,3,-22.418,1,0.0476,0.985,0.866,0.13,0.0957,134.106,182589,4
810,Polo G,Be Something,65jw6GhwQW3Db55PxlPEpS,70,0.829,0.52,8,-10.34,1,0.294,0.0232,0.0,0.134,0.248,136.103,194118,4
811,The Sea The Sea,A Thousand Years,2y18KwwFsRDbozWzbdmESx,13,0.584,0.288,8,-11.029,1,0.0272,0.793,0.000111,0.12,0.17,108.255,225187,4
812,2KBABY,Old Streets,3k0LQivRnB690bkznEXI1E,70,0.686,0.362,2,-12.042,1,0.617,0.512,0.0,0.168,0.6,126.7,105600,5
813,Cool Vibes Jazz,New Year New You,3pgKqCax6v7KPkz1kGgFCR,7,0.719,0.0818,3,-25.586,1,0.0439,0.79,0.796,0.11,0.432,80.093,75006,4
814,Mac Miller,Circles,4jXl6VtkFFKIt3ycUQc5LT,72,0.61,0.0316,9,-15.186,1,0.0486,0.896,0.00461,0.108,0.37,151.964,170360,4
815,Christy Moore,The Raggle Taggle Gypsy; Tabhair Dom Do Lámh - Remastered 2020,1uGYAMruf0LnXZI0KPALju,13,0.531,0.505,2,-7.609,1,0.0281,0.793,5.08e-06,0.228,0.465,89.948,261547,4
816,Billie Eilish,my future,2ygvZOXrIeVL4xZmAWJT2C,74,0.444,0.309,8,-10.956,1,0.062,0.795,0.132,0.352,0.0875,104.745,208155,4
817,David Nevue,A Thousand Years and After,0OzrbatEPZFVGZNJPoN2tR,3,0.298,0.119,11,-18.35,1,0.054,0.987,0.921,0.12,0.159,66.134,186506,3
818,Machine Gun Kelly,drunk face,3k0YJnqMKRZb8swo86vCkq,72,0.691,0.77,7,-4.578,0,0.0367,0.0282,0.0,0.497,0.344,90.024,143901,4
819,Aly & Fila,Somebody Loves You (with Plumb),2inBkyRhXyvSmzq7V4HVnx,15,0.422,0.959,1,-4.39,1,0.0431,0.00379,0.0376,0.318,0.245,140.018,250286,4
820,Bad Bunny,SORRY PAPI,5jZ32WOU7sqzDYbzINwMUk,77,0.612,0.561,1,-6.054,1,0.0851,0.0601,0.0,0.145,0.393,191.911,163053,4
821,Titobeats,Happy New Year 2021 - Instrumental,05l9VYIDq7lYaAw6HxQBVl,4,0.862,0.541,6,-7.846,1,0.263,0.0674,0.708,0.0852,0.802,141.089,190668,4
822,KAROL G,BICHOTA,7vrJn5hDSXRmdXoR30KgF1,79,0.863,0.666,1,-4.158,0,0.152,0.212,0.000493,0.103,0.838,163.908,178947,4
823,015B,Sliding Door Moments - Korean Version,4NWdb0MAwcfaHswWb7u1wP,10,0.695,0.47,2,-7.643,1,0.0312,0.35,0.000133,0.0715,0.599,114.961,239413,4
824,Juice WRLD,Can't Die,4PPLJAEYBSOcnzr9TZoqf9,71,0.652,0.671,2,-5.89,1,0.0756,0.0222,0.0,0.107,0.274,84.008,182922,4
825,015B,My Curiosity,3BYgy2AA1R0YYSTiAaosLy,11,0.591,0.729,10,-4.947,1,0.0565,0.0517,5.09e-05,0.211,0.336,79.975,198240,4
826,Lefty Sm,Por Mi México,2sUknbm8xdLQgH7wb8xcTX,77,0.782,0.662,1,-6.809,0,0.178,0.0345,0.0,0.216,0.821,80.008,218250,4
827,015B,Air Limited Edition,5xEQI9Pq9w6ym0yZ9Awqoh,10,0.671,0.781,6,-4.593,0,0.132,0.0599,0.0,0.0937,0.8,152.003,239453,4
828,Leyla Blue,What A Shame,7FGIEAVXfegxngH9Jg6VwA,77,0.699,0.463,0,-7.828,1,0.475,0.315,0.0,0.0803,0.565,143.99,177200,4
829,PKCZ(R),CHAIN BREAKER,6HT6F5ObwdIzdk6CS54QLk,37,0.558,0.847,10,-3.959,0,0.113,0.0169,0.0,0.369,0.626,127.899,327507,4
830,Miley Cyrus,Plastic Hearts,6qCsKKS7Ol63SJW3LOIX5R,75,0.551,0.756,2,-4.948,1,0.0652,0.0511,0.0,0.0765,0.618,175.984,205733,4
831,goosetaf,Last Night,6euVvsxMmscZAtp3tsIJcP,8,0.616,0.444,7,-14.543,1,0.134,0.745,0.889,0.214,0.173,170.189,130000,4
832,Dominic Fike,Superstar Sh*t,20j7l6tFtc5lynXpbOQg1O,71,0.756,0.394,4,-7.321,0,0.0956,0.945,0.0371,0.12,0.197,70.027,127055,4
833,Mari Esabel Valverde,When Thunder Comes (Live),7MBrclZ8LIGn6lLMKeGorH,5,0.312,0.156,4,-27.231,0,0.0656,0.915,0.0,0.727,0.143,80.955,258013,4
834,Gryffin,Safe With Me (with Audrey Mika),6Skh3CBum0pZw9TOr7FQnX,73,0.497,0.757,11,-4.189,1,0.127,0.0449,0.0,0.119,0.507,169.902,205165,4
835,GRIFE,Life's Not a Contest,3Sqg12vvtpL1F3dwyrJi0v,18,0.77,0.918,10,-9.274,0,0.0434,3.52e-05,0.818,0.168,0.0661,121.013,435032,4
836,Will Paquin,Chandelier,1Go9q6KaCpAsQ0wkZFGzY2,73,0.333,0.498,2,-9.121,0,0.0468,0.674,6.51e-06,0.12,0.427,87.082,127465,4
837,Sista Prod,Eyes Blue Like The Atlantic (feat. Subvrbs),0qUcpOOna3kkrwfqky85e1,75,0.768,0.339,0,-13.169,1,0.777,0.608,0.000956,0.261,0.568,76.229,154599,4
838,Helloween,Years - 2020 Remaster,5auto8dMltLdfxILQyyXpo,21,0.376,0.962,10,-7.629,1,0.103,1.32e-05,0.3,0.276,0.319,151.832,264507,4
839,Taylor Swift,mirrorball,0ZNU020wNYvgW84iljPkPP,74,0.553,0.413,2,-10.037,1,0.0334,0.687,2.33e-06,0.0594,0.379,110.107,208978,4
840,Mike Sanders,Winden - Mixed,2G3xRSATaMwOcOqmrphRCu,11,0.469,0.987,4,-8.305,0,0.082,0.000735,0.966,0.75,0.154,137.898,304553,4
841,Justin Bieber,Lonely (with benny blanco),4y4spB9m0Q6026KfkAvy9Q,79,0.631,0.239,11,-7.071,0,0.0398,0.864,0.0,0.116,0.0927,79.859,149297,4
842,Cold Blue,Recovery (John O’Callaghan Remix) - Mixed,3Mkc4N2KizWm95rIKzECJx,14,0.373,0.965,4,-9.397,0,0.0513,0.000224,0.786,0.137,0.0396,137.162,216050,4
843,Freddie Gibbs,"Something to Rap About (feat. Tyler, The Creator)",5OkYfk72CNL8XLqa3gp9q7,70,0.406,0.524,5,-11.071,1,0.255,0.469,3.95e-06,0.117,0.412,56.046,282560,4
844,Alan Morris,Catharsis - Mixed,4D3LEYA17P6dGBk2NJcO4D,12,0.44,0.981,6,-7.569,0,0.109,0.000351,0.949,0.54,0.078,137.705,268132,4
845,Taylor Swift,betty,5kI4eCXXzyuIUXjQra0Cxi,73,0.593,0.377,0,-8.761,1,0.0253,0.6,0.0,0.0976,0.502,95.939,294521,4
846,Workout Music ,Never Be the Same (Remix),0OUdjsdhc5fwef8UIbQFX6,13,0.816,0.745,0,-8.04,1,0.08,0.0345,0.03,0.105,0.92,127.993,273782,4
847,Five Finger Death Punch,A Little Bit Off,6GqqGv8frU7kqzXkm2rewI,72,0.664,0.828,0,-6.053,1,0.0404,0.00839,0.0,0.294,0.82,103.985,190718,4
848,Workout Music ,Old Town Road (Remix),2YYO2IuGe6dI9Lv3mpeUWo,14,0.845,0.597,4,-8.005,1,0.103,0.0159,0.00388,0.0593,0.353,129.987,265867,4
849,Myke Towers,Bandido,1xK1Gg9SxG8fy2Ya373oqb,80,0.713,0.617,8,-4.637,1,0.0887,0.122,0.0,0.0962,0.682,168.021,232853,4
850,Workout Music ,Only Human (Remix),6cnCKULXZccT8eVBLWQoGk,9,0.773,0.745,0,-5.535,1,0.0442,0.0307,0.0546,0.0898,0.898,127.991,256800,4
851,Drake,Toosie Slide,127QTOFJsJQp5LbJbu3A1y,77,0.834,0.454,1,-9.75,0,0.201,0.321,6.15e-06,0.114,0.837,81.618,247059,4
852,Workout Music ,Shallow (Remix),7tURpAVMj5qglZb3nJOx4a,15,0.583,0.864,7,-5.376,1,0.035,0.0853,0.178,0.0843,0.954,127.978,270000,4
853,Taylor Swift,invisible string,6VsvKPJ4xjVNKpI8VVZ3SV,73,0.653,0.452,4,-11.143,0,0.055,0.838,7.73e-05,0.108,0.45,83.433,252881,4
854,Workout Music ,Lover (Remix),487ySw9mtgAoCrcuA7T0cn,10,0.559,0.705,7,-4.54,1,0.0347,0.00107,0.207,0.0348,0.779,129.988,275075,4
855,FLETCHER,Bitter,5Z0AM9HW78XIyZqF2BPasr,72,0.724,0.594,6,-7.126,0,0.102,0.393,0.00116,0.0889,0.413,136.002,194750,4
856,Workout Music ,The Git Up (Remix),6y4RrhaJPDDoFgr9jRoAYf,12,0.89,0.851,6,-5.462,0,0.0654,0.00549,2.38e-05,0.0794,0.975,128.015,257480,4
857,LDNE,Labios Rojos,1NPk0Y7AkLvirhSg4oI0bM,69,0.492,0.729,5,-3.357,0,0.0407,0.697,0.0,0.0676,0.902,177.447,241424,3
858,Jacob Lizotte,Beast,0uEt4NbDvWQSqvpDQOZwLr,7,0.387,0.898,0,-8.738,0,0.057,5.14e-05,0.743,0.545,0.297,95.845,218500,4
859,Junior H,Atrapado en un Sueño,4FJHSPdhQqxovmYP9YpcHN,73,0.726,0.647,7,-7.245,0,0.0364,0.0317,2.86e-06,0.109,0.366,92.453,210162,3
860,DJ Aljur Gomez,Taong Bente bente (year 2020),5fFuFim20UBbzJPTKrSxMk,5,0.698,0.529,5,-10.105,0,0.0393,0.19,0.275,0.128,0.467,133.032,523926,4
861,Kehlani,Toxic,5nexAvWNhwg51EavnDgViy,71,0.653,0.453,7,-5.395,0,0.0351,0.307,0.00101,0.113,0.0405,111.737,168183,4
862,Shanti Chakra Friends,Seven Years in Tibet 2020,6uvfqKDNvc6B8aGTlALw2Z,13,0.514,0.357,10,-13.391,1,0.0335,0.737,0.961,0.11,0.235,79.957,293051,4
863,BTS,Black Swan,2EmcTFQ1rM11wp2ztsXTHa,78,0.719,0.757,2,-5.167,0,0.0849,0.137,0.0,0.129,0.489,147.024,198261,4
864,Net-Zone,End of the year 2020,09CAVXwd3erTFax8EatCLn,5,0.502,0.88,2,-9.01,1,0.0345,0.072,0.847,0.132,0.0468,100.009,240000,4
865,Punkinloveee,Freak Show,2Rb6nYmuLEblpq4KIAjngL,74,0.665,0.825,8,-5.954,0,0.179,0.00552,2.25e-05,0.416,0.683,138.09,125362,4
866,Max Off Melrose,Worst Year of My Life (2020),14QFphap5FUEvbp6kaPG6Z,5,0.744,0.419,10,-11.404,1,0.0492,0.191,0.0,0.0722,0.478,126.092,118571,4
867,Zach Bryan,Crooked Teeth,0Is8zshpnWUiFQJIYAMrQN,67,0.77,0.403,0,-6.039,0,0.0445,0.548,0.0,0.106,0.658,99.428,197227,4
868,Last Year's Man,"Wild, Wild Heart",2Nur2UzbP0TYyO0ZkvN2Rh,13,0.36,0.289,4,-14.136,1,0.0472,0.926,0.00231,0.0938,0.193,179.807,235013,4
869,Jack Harlow,Route 66 (feat. EST Gee),5faz5WYRJdRDiCa42DSgHR,70,0.914,0.463,6,-10.187,0,0.174,0.038,0.0,0.0833,0.532,144.039,153360,4
870,Gareth Emery,Yesterday,3l8q87pQxV4YT4fm8LIqsh,10,0.512,0.697,0,-4.352,0,0.0427,0.282,0.000108,0.206,0.296,129.893,199500,4
871,Lil Tecca,Our Time,2WxUIiq06XXPYWl9YcRJnD,72,0.895,0.439,5,-12.142,0,0.319,0.199,0.0,0.0683,0.633,109.988,98413,4
872,Above & Beyond,Reverie - Above & Beyond Club Mix,1gULRv2VeyJJ0PRXoaydW6,14,0.453,0.756,6,-7.753,1,0.0472,0.00742,0.0648,0.0555,0.0557,127.899,232272,4
873,Ashnikko,Daisy,0AUvWawuP0ibk4SQ3sIZjk,74,0.834,0.663,8,-6.143,1,0.133,0.235,0.0,0.372,0.774,121.876,146523,4
874,DJPOOPYPANTS,2020 was the year of sweaty mistakes,6peVo1MvfU4My4teGQCPtF,2,0.319,0.894,9,-6.362,0,0.141,0.077,0.255,0.168,0.451,154.75,182710,4
875,Miley Cyrus,Angels Like You,1daDRI9ahBonbWD8YcxOIB,80,0.672,0.642,5,-4.035,1,0.0313,0.0981,0.0,0.1,0.494,121.981,196453,4
876,DJ Aljur Gomez,Bente Bente (Year2020),3MSYcjErVCaBWVYb6mxLjT,5,0.696,0.579,5,-8.349,0,0.0384,0.177,0.335,0.34,0.461,133.023,523860,4
877,King Von,Back Again (feat. Lil Durk),0rk2IHFiHFnO7t0jvAeHW9,69,0.87,0.563,5,-8.373,1,0.451,0.0173,0.0,0.119,0.725,159.931,151000,4
878,English Languagecast,The Year 2020 Changed Everything in My Life,6XZMbNo7U3cHmiwsQRdySD,5,0.731,0.173,5,-12.97,0,0.872,0.572,0.0,0.124,0.39,90.527,32373,3
879,Royal & the Serpent,overwhelmed,5jjZikDrEd0by1o7V3fO4y,73,0.804,0.323,0,-11.127,0,0.305,0.308,0.0,0.15,0.456,87.019,159293,4
880,Om Zone,Ohm Meditation,46B0nZzZOZPku3sGyYS0Vh,9,0.188,0.139,5,-25.291,0,0.0366,0.967,0.9,0.0954,0.0388,63.402,283999,4
881,Eslabon Armado,24 Horas,0T8lt51Lvj1OAj750PH6X9,69,0.492,0.453,7,-10.146,1,0.0347,0.797,0.0,0.0821,0.48,128.244,317363,4
882,Los Dos Carnales,El Envidioso,53PoPAD389bBE4ePYuT95g,74,0.719,0.577,5,-5.326,1,0.0909,0.416,0.0,0.0972,0.861,78.77,191995,4
883,Future,Too Comfortable,0biVzpdI2z0vAxwfU9xuuA,70,0.935,0.472,3,-9.304,0,0.0575,0.0455,0.0,0.19,0.659,130.041,236819,4
884,BIA,WHOLE LOTTA MONEY,5yorXJWdBan1Vlh116ZtQ7,70,0.897,0.371,1,-5.019,1,0.368,0.0904,0.0,0.325,0.441,81.008,156005,4
885,YoungBoy Never Broke Again,House Arrest Tingz,4Boj4bBiDv6Ur1zKEvLXBI,68,0.725,0.583,7,-8.562,1,0.345,0.141,0.0,0.102,0.257,159.989,168281,4
886,Lil Baby,Commercial (feat. Lil Uzi Vert),3tDqEKKUs6gf8zMvSuLyLA,69,0.892,0.486,11,-8.637,0,0.384,0.048,0.0,0.146,0.535,120.998,214215,4
887,Jerry Di,Mi Cuarto,6fmQjRuo7XvRFCK2qex5hQ,76,0.854,0.525,1,-4.426,1,0.214,0.819,0.0,0.146,0.63,97.054,197587,4
888,Bad Bunny,BYE ME FUI,0FktnzDqjClqU6iqOZVEs2,77,0.712,0.599,5,-6.342,0,0.112,0.412,2.15e-05,0.103,0.588,179.788,178000,4
889,King Von,All These Niggas (feat. Lil Durk),4g27tVPyGHi38dczFoJZZy,68,0.793,0.462,5,-7.495,0,0.119,0.00522,0.0,0.191,0.356,145.962,144787,4
890,Wild Rivers,Thinking 'Bout Love,42UaitnwvuKqNcD5Oa2HlD,70,0.733,0.324,5,-8.122,1,0.033,0.479,0.0,0.067,0.388,141.8,199391,4
891,Juice WRLD,Fighting Demons,0440JCJyIAmINA8KcYgFb5,71,0.707,0.67,7,-6.328,0,0.257,0.0813,0.0,0.098,0.235,163.099,200629,4
892,Eslabon Armado,Me Matas,50g9l7cOUIXt9LVl9eX784,70,0.5,0.483,5,-8.438,0,0.0303,0.797,0.00737,0.119,0.492,185.846,203707,3
893,Will Wood,I / Me / Myself,1lqj3wgPj8gHCdq46hUjvr,71,0.48,0.954,11,-5.273,0,0.0584,0.165,5.14e-06,0.807,0.762,172.016,291715,4
894,Banda MS de Sergio Lizárraga,La Casita,0vtYnEw1eJwW26BrBnOAYJ,77,0.832,0.525,10,-6.806,1,0.0412,0.277,1.77e-05,0.142,0.967,112.479,217600,3
895,$uicideboy$,All Dogs Go to Heaven,1DoBPOlB884EHiftB46QGx,70,0.884,0.903,6,-3.672,0,0.2,0.274,0.00037,0.302,0.839,75.022,153652,4
896,Oliver Tree,Hurt,6Ph8QwsRfZunN5e1GGBIqa,72,0.563,0.784,0,-5.875,1,0.0402,0.0173,0.0,0.467,0.424,93.992,145147,4
897,Kenny Chesney,Knowing You,2EEfUuBRZA4Ax1vYcluFS0,67,0.557,0.565,7,-6.12,1,0.026,0.229,3.9e-06,0.119,0.187,125.956,226267,3
898,Megan Thee Stallion,Savage Remix (feat. Beyoncé),5v4GgrXPMghOnBBLmveLac,71,0.822,0.743,10,-4.772,0,0.28,0.016,0.0,0.127,0.636,84.459,242001,4
899,Skinny Atlas,you never meant it,4LMlIX9Y8qziRafzW30mGc,73,0.792,0.551,7,-5.769,1,0.037,0.307,0.0,0.101,0.45,103.967,117692,4
900,Aurosonic,In Euphoria We Rise (Mixed) - Progressive Mix,149y1K0sSrTes3c6UHdJu5,13,0.496,0.906,8,-5.115,0,0.0636,0.00503,0.0368,0.134,0.24,126.884,470520,4
901,Rod Wave,Letter From Houston,64NX4R1rgHb1LMLDAnNNPp,67,0.679,0.574,11,-10.431,0,0.0651,0.138,0.0,0.266,0.75,156.036,173893,4
902,015B,One Sunny Day,42o2YOintzESacvIFg1a8r,9,0.445,0.659,2,-4.727,1,0.0414,0.343,0.0,0.138,0.153,151.908,311973,4
903,Adelmar Borrego,"Twinkle, Twinkle, Little Star",147gCksvDRmjG1pO51ZCcf,75,0.443,0.0248,11,-25.351,1,0.0622,0.996,0.967,0.12,0.52,68.123,100562,4
904,Aurosonic,Can I Count On You (Mixed),4F0yK9EVX4qOoXpfULB6aP,12,0.536,0.919,5,-4.97,1,0.116,0.0144,0.265,0.33,0.0532,124.995,491520,4
905,UPSAHL,People I Don't Like,5srKMwXoeyrRnyTnNbpgIW,72,0.747,0.573,11,-6.562,0,0.295,0.268,0.0,0.302,0.551,90.036,142766,4
906,Aurosonic,From Dust To Ground (Mixed) - Progressive Mix,1D6yAnZFJnke1yTAAAEw9m,11,0.586,0.922,7,-5.446,0,0.0568,0.00265,0.064,0.086,0.0516,125.004,460800,4
907,Sam Hunt,Hard To Forget,10xuH52YSXHWFwCaF1fsDd,68,0.689,0.689,4,-5.517,1,0.045,0.23,0.0,0.57,0.664,130.069,204760,4
908,Aurosonic,You'll Be Fine (Mixed) - Progressive Mix,6xHID6NgVvDZEStXZO1xeN,10,0.569,0.91,9,-5.652,0,0.0636,0.0132,0.0331,0.24,0.104,128.292,453267,4
909,Olivia Rodrigo,All I Want,1v6svH1Fyx9C1nIt1mA2DT,76,0.376,0.43,0,-6.585,0,0.0328,0.0902,0.0,0.0912,0.129,77.599,177323,3
910,Jazz Instrumental Relax Center,Jazz Lounge,6QeeeNjvbZMqcRp6e5BIel,20,0.754,0.374,1,-15.917,1,0.0432,0.903,0.873,0.0764,0.869,139.898,191575,4
911,Bad Bunny,MALDITA POBREZA,0Lsis3LB0XAK6XlTHXaJk2,73,0.762,0.861,4,-4.075,0,0.0652,0.139,1.08e-06,0.0956,0.588,133.037,213609,4
912,SAINT WKND,Girls Just Wanna Have Sun,7yJFBWii4GhQ5HKCPu7C7q,7,0.608,0.288,5,-9.732,1,0.0632,0.585,0.403,0.0887,0.151,76.995,170000,4
913,Nate Smith,Under My Skin,3G3OwFCrkc86mMuLPOvgjc,69,0.604,0.537,8,-6.189,1,0.0346,0.131,0.0,0.163,0.48,151.757,178772,4
914,Tove Lo,Talking Body,5zglEgygGgj6mFwx9ANoru,14,0.723,0.806,4,-4.364,0,0.0342,0.0704,0.0,0.0817,0.0842,119.988,237333,4
915,Taylor Swift,illicit affairs,2NmsngXHeC1GQ9wWrzhOMf,73,0.559,0.31,10,-10.445,1,0.0338,0.881,0.0,0.106,0.46,119.845,190898,4
916,Glad2Mecha,Showing Love,6s7aZNaIAxeReSesFiuvAH,13,0.844,0.468,10,-9.648,0,0.353,0.0658,0.0,0.113,0.687,89.997,165389,4
917,Bad Bunny,Está Cabrón Ser Yo,4saHEjXw7O1NXJOzBkUKKG,75,0.81,0.854,10,-3.999,0,0.254,0.0732,0.0,0.123,0.879,154.083,227939,4
918,Strehlow,Lagoons,2JMTJ4Ne54SF3e71kiTjIY,7,0.65,0.222,0,-16.714,0,0.0432,0.742,0.879,0.353,0.468,76.992,175422,4
919,weird inside,Wrong Way,1YhC7OQOaiSVg4LQ14x17a,7,0.558,0.328,6,-13.461,1,0.0995,0.422,0.863,0.126,0.412,83.367,141750,4
920,Zach Bryan,Revival,2QfX9Pdz3q66fN3kCXl0Js,67,0.464,0.366,7,-9.025,1,0.047,0.772,1.58e-05,0.0949,0.328,78.846,221250,4
921,Montell Fish,Imagination,4GW5cnEo9EFMkKsdT0VvSd,7,0.442,0.221,2,-15.32,0,0.0548,0.558,0.803,0.102,0.0361,140.064,128000,4
922,C2d,With My Hoe!,6r3Wa1lkJVEuc67aZhwO61,71,0.586,0.538,10,-7.819,1,0.0545,0.0248,0.00795,0.203,0.188,140.107,82516,4
923,invention_,Sonar,6czQS8qEliHSUvwUUKm0xz,7,0.448,0.414,9,-11.786,1,0.0547,0.485,0.727,0.116,0.0392,72.665,148937,3
924,Joji,Daylight,6Ed1q0X8oSKSm4IIhiQbYg,73,0.528,0.749,7,-7.571,1,0.0479,0.00488,9.6e-05,0.0949,0.729,163.944,163906,4
925,Topic,Breaking Me,2FRx1Oqzzp8MkrLZU7WhLH,8,0.789,0.72,8,-5.652,0,0.217,0.223,0.0,0.129,0.664,122.031,166794,4
926,Lee Brice,Soul,3vCUelLOtiuNF78p9LNWZF,69,0.789,0.642,11,-8.304,1,0.0352,0.357,0.0,0.0985,0.755,121.003,167680,4
927,Tesk,p i c k m e u p,1VD8yecOuLPqx8kyt6ICI3,8,0.614,0.182,4,-18.063,1,0.0439,0.761,0.876,0.0754,0.193,154.036,125616,4
928,Frances Forever,space girl,7FjIYiD53wxlQmzTT6Wdpf,71,0.669,0.395,9,-9.598,1,0.03,0.332,0.000196,0.37,0.196,125.979,231440,4
929,Arbour,Sundown,6Q9QZRk3FjWWrbz1szGh2M,9,0.649,0.536,10,-12.98,1,0.0369,0.551,0.889,0.117,0.187,156.072,168741,4
930,Conan Gray,Comfort Crowd,6uaBrivDHCaV0uBTiwHTUi,71,0.678,0.431,0,-6.749,1,0.0326,0.163,1.94e-06,0.147,0.404,90.941,174680,4
931,Blue Wednesday,Embers,0TkZAnWFp0H8HgDoGSLRkJ,6,0.612,0.187,11,-23.287,1,0.535,0.619,0.902,0.0671,0.234,73.155,198904,4
932,MAX,Blueberry Eyes (feat. SUGA of BTS),5dn6QANKbf76pANGjMBida,73,0.746,0.611,0,-7.034,0,0.101,0.454,0.000922,0.133,0.411,149.967,172245,4
933,Blue Wednesday,Cloud Dance,4AmUdB203yT0uHUR5R0Noh,7,0.693,0.0788,4,-23.18,0,0.0608,0.838,0.866,0.0399,0.152,88.898,178742,4
934,Shawn Mendes,Wonder,5KCbr5ndeby4y4ggthdiAb,76,0.333,0.637,1,-4.904,0,0.0581,0.131,1.8e-05,0.149,0.132,139.898,172693,4
935,Psalm Trees,bringmesun,0xekwqWRG4YmxY8kvfoVz2,7,0.656,0.294,1,-12.695,0,0.0405,0.864,0.887,0.0822,0.592,82.025,140488,4
936,Mac Miller,Woods,3Qa944OTMZkg8DHjET8JQv,70,0.779,0.362,0,-10.847,1,0.0474,0.135,0.206,0.111,0.46,85.011,286387,4
937,Professori,Crazy 2020,5CyTrN5n9NesfLRBGvsLu9,5,0.679,0.728,5,-8.068,1,0.0981,0.295,0.136,0.0868,0.953,180.14,200855,4
938,Lil Uzi Vert,Prices,4YcWzLSnGqLjSCycuSMHnn,69,0.786,0.683,7,-5.397,1,0.205,0.173,0.0,0.706,0.57,126.002,233333,4
939,Mellowhead,フラッシュバックモーニングアフター - 2020,0AqB0AlDS0Sym7XW8AyDf7,8,0.747,0.656,2,-8.274,0,0.0328,0.207,0.000818,0.0718,0.962,113.009,288018,4
940,Quinn XCII,Stacy,07ZQLYn9x4x3L3vxStc1zr,69,0.744,0.556,8,-6.97,1,0.0375,0.0858,0.0,0.1,0.505,105.006,168987,4
941,Söhns,Fallen Leaves,2jKOo2ysYTf13diGMCneYm,12,0.74,0.88,5,-7.245,0,0.0632,0.00199,0.908,0.202,0.53,121.003,432397,4
942,Phoebe Bridgers,Moon Song,46RNrAkGsqWTDrv2ZPOAbx,70,0.339,0.243,1,-12.512,1,0.056,0.869,0.00369,0.107,0.183,154.909,277677,3
943,Havana Brown,We Run The Night,3KZ4P3y3L0SAPphQnCXBOG,12,0.698,0.847,9,-4.136,0,0.179,0.00615,1.71e-06,0.691,0.727,127.032,228747,4
944,Steve Lacy,Uuuu,6M0EP76qW9TG4SNU0agu94,68,0.947,0.616,9,-3.602,1,0.0415,0.0168,0.259,0.0658,0.968,127.082,90709,4
945,Liam Payne,Strip That Down,4sesKbU8NF3J6XE9lcBAwu,10,0.874,0.497,6,-5.484,1,0.0562,0.22,0.0,0.0761,0.542,106.025,204502,4
946,Maluma,Hawái,1yoMvmasuxZfqHEipJhRbp,80,0.783,0.727,6,-3.454,0,0.389,0.185,2.46e-05,0.0626,0.558,180.067,199112,4
947,Mat Zo,Colours - Mixed,4LzzLZzl097CXVLh38E8ZI,7,0.678,0.857,1,-5.925,1,0.0653,0.0172,0.000343,0.297,0.166,124.995,368640,4
948,Jameson Rodgers,Cold Beer Calling My Name,3dV1fjKOlLnaNK5MeZHXGv,68,0.581,0.86,7,-4.092,1,0.039,0.048,0.0,0.169,0.79,148.318,210480,4
949,Kungs,This Girl - Kungs Vs. Cookin' On 3 Burners,2FR6n9WYNF1PoEdmbEYQGw,10,0.792,0.703,0,-4.678,0,0.0391,0.0874,0.000129,0.225,0.472,121.975,195561,4
950,Troye Sivan,Easy (with Kacey Musgraves feat. Mark Ronson),4XWaUb7mKRcJR5RPp4IIDr,71,0.581,0.674,8,-7.09,1,0.033,0.00187,3.01e-06,0.128,0.488,143.005,213572,4
951,Wassu,Blessing in Disguise,1usJeEopUMitEfYzYZjVLc,6,0.812,0.799,2,-8.169,1,0.235,0.016,0.879,0.453,0.724,119.994,487995,4
952,Koe Wetzel,Kuntry & Wistern,1deRJz00Ey3FMbBbH1qEvS,66,0.499,0.816,4,-5.033,1,0.0392,0.155,0.0,0.856,0.507,185.203,241972,4
953,Le Youth,Arizona - Mixed,1PwIlfKMn82TVbWMO67kqh,8,0.673,0.658,10,-10.086,0,0.0343,0.02,0.73,0.158,0.314,122.027,345718,4
954,Maverick City Music,Promises (feat. Joe L Barnes & Naomi Raine),5suRrn5N4HNeRXOpBTdmZt,70,0.362,0.421,10,-11.699,1,0.0372,0.281,6.2e-05,0.0943,0.233,114.669,646239,4
955,Shawn Mendes,There's Nothing Holdin' Me Back,6Xg5Fb4zeX8PYNu616N00s,11,0.866,0.811,11,-4.063,0,0.0553,0.375,0.0,0.078,0.969,121.995,199440,4
956,$uicideboy$,Putrid Pride,4x3vJJYSW9fZWIubv5mmww,69,0.903,0.643,10,-5.669,0,0.0925,0.197,0.0,0.111,0.224,110.003,106971,4
957,Above & Beyond,Blue Monday - Mixed,0nDqnTCNjwRxCAPHrJ9JeR,9,0.66,0.9,7,-4.479,1,0.038,0.0024,0.376,0.32,0.32,130.002,295385,4
958,Sleep Miracle,Brown Sleep Noise,5UBonaClAZVfzxJNn8nnhh,71,0.0555,0.0837,1,-30.397,1,0.147,0.116,1.0,0.112,0.06,59.509,248000,4
959,Above & Beyond,Reverie - Above & Beyond Club Mix (Mixed),2jCISnyNreYq44ngCZ1dAQ,9,0.547,0.872,6,-6.868,1,0.0497,0.00615,0.247,0.334,0.119,127.954,322500,4
960,Brent Faiyaz,Been Away,5PvVkf1Yuq3XyMqqjPiKPd,69,0.602,0.5,8,-9.377,1,0.298,0.477,5.69e-05,0.295,0.395,132.798,223630,4
